"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN000109",2505.88493148136,1491.78089805096,1390.54022858808,1338.55834289058
"AFUN000110",1422.59926851801,745.59942661072,942.925695902738,767.794563503827
"AFUN000111",519.761300381421,369.598466743019,559.518165856683,763.103354358182
"AFUN000114",489.187106241338,657.128612524202,447.614532685347,403.443986525432
"AFUN000117",2262.49036636619,2598.83016379146,1825.31336074557,2367.49688216862
"AFUN000118",120.498294552094,357.957570152687,187.117550548792,234.560457282228
"AFUN000119",211.021888966852,280.545607826984,132.082976857971,222.050566227176
"AFUN000120",57.5514242636868,79.7401416437694,84.386346325926,103.20660120418
"AFUN000121",95.3195464367312,59.9506174402062,121.076062119807,117.280228641114
"AFUN000122",89.3246064092639,40.161093236643,66.0414884289855,60.9857188933793
"AFUN000125",317.132327453024,379.4932288448,489.80770584831,442.53739607247
"AFUN000126",28.7757121318434,73.3376485190872,56.8690594805153,31.2747276376304
"AFUN000127",4.7959520219739,6.98453795419878,9.17242894847022,3.12747276376304
"AFUN000130",315.933339447531,110.006472778631,414.593788470854,150.118692660626
"AFUN000133",30.5741941400836,25.6099724987289,44.027658952657,39.093409547038
"AFUN000134",33.5716641538173,37.8329139185767,55.0345736908213,78.186819094076
"AFUN000136",4101.73796679318,3507.98418749634,3164.48798722222,3286.97387471496
"AFUN000139",70.740292324115,125.721683175578,36.6897157938809,101.642864822299
"AFUN000140",28.7757121318434,78.5760519847363,36.6897157938809,32.8384640195119
"AFUN000148",67.1433283076346,56.4583484631068,67.8759742186796,76.6230827121945
"AFUN000149",70.740292324115,77.9940071552197,89.8898036950081,67.2406644209054
"AFUN000150",14.3878560659217,34.3406449414773,23.8483152660226,31.2747276376304
"AFUN000151",1002.95346659529,1104.72108642244,1030.98101380805,836.598964306614
"AFUN000153",122.296776560334,147.839386697208,88.0553179053141,112.589019495469
"AFUN000154",19.1838080878956,15.7152103969473,47.6966305320451,40.6571459289195
"AFUN000157",169.05730877458,134.452355618327,159.600263703382,93.8241829128912
"AFUN000159",56.9519302609401,23.2817931806626,34.8552300041868,23.4560457282228
"AFUN000160",1.19898800549347,8.14862761323191,29.3517726351047,3.12747276376304
"AFUN000163",1140.23759322429,846.875226946602,939.25672432335,1043.01216671497
"AFUN000164",149.873500686684,53.548124315524,89.8898036950081,65.6769280390239
"AFUN000165",2061.06038144328,1089.00587602549,1906.03073549211,1419.87263474842
"AFUN000166",11.390386052188,21.5356586921129,5.50345736908213,15.6373638188152
"AFUN000167",42.5640741950184,6.40249312468222,7.33794315877617,18.7648365825782
"AFUN000168",91.1230884175041,46.5635863613252,69.7104600083736,40.6571459289195
"AFUN000169",475.998238180909,306.155580325713,434.773132157488,340.894531250171
"AFUN000178",5.99494002746737,10.4768069312982,3.66897157938809,6.25494552752608
"AFUN000179",199.631502914664,231.653842147593,84.386346325926,142.300010751218
"AFUN000180",946.001536334352,515.10967412216,669.587313238326,541.052788131006
"AFUN000181",19.1838080878956,5.82044829516565,11.0069147381643,29.7109912557489
