"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN007906",13.28142252411,3.02714395085989,46.2201205003173,15.7712833018107
"AFUN007907",27.5844929346901,13.6221477788695,63.9378333587722,58.3537482166997
"AFUN007908",0,7.56785987714972,30.0430783252062,21.2912324574445
"AFUN007910",39.8442675723301,15.1357197542994,27.7320723001904,22.8683607876256
"AFUN007911",532.278548850871,510.073755719891,338.94755033566,757.810162652006
"AFUN007912",44.9525070046801,68.1107388943475,46.2201205003173,60.7194407119713
"AFUN007916",561.906337558501,1430.3255167813,1263.34996034201,983.3395138679
"AFUN007917",878.617182364202,2698.69883219159,1498.30223955195,1757.70952398681
"AFUN007918",0,10.5950038280096,14.6363714917671,0
"AFUN007919",653.854647340802,2477.71732377882,1499.07257489362,963.625409740636
"AFUN007920",10.2164788647,0,40.0574377669416,11.8284624763581
"AFUN007921",132.8142252411,227.035796314492,150.215391626031,161.65565384356
"AFUN007922",361.663351810381,616.023793999988,350.502580460739,480.235576540137
"AFUN007923",149.16059142462,180.115065076163,26.1914016168465,89.8963148203212
"AFUN007924",169.59354915402,227.035796314492,136.349355475936,127.747394744667
"AFUN007928",871.465647158912,405.637289415225,718.722873779933,916.311559835204
"AFUN007929",190.02650688342,172.547205199014,150.215391626031,261.014738644968
"AFUN007930",1396.59266080449,516.128043621611,1450.54144836829,1014.09351630643
